species,mean_early_raw_abundance,mean_advanced_raw_abundance,direction,mannwhitney_u,p_value,fdr,minus_log10_fdr,rank
Alphaproteobacteria bacterium,0.006112568093385215,0.022030364077669905,advanced_high,51472.0,0.15057374656989017,0.9201067675772736,0.0361617749595662,253
Mediterraneibacter sp gm002,0.01959035019455253,0.017757281553398056,early_high,50171.5,0.15215256661557516,0.9225625996894934,0.03500415549157959,254
Collinsella aerofaciens,0.5645153696498055,0.49259014563106795,early_high,56411.0,0.15216912219975473,0.9225625996894934,0.03500415549157959,255
GGB2983 SGB3965,0.003490894941634241,0.00444759708737864,advanced_high,50844.5,0.15346287859514912,0.9267719152660177,0.03302713546665521,256
Prevotella copri clade B,0.7213350583657588,0.17156939320388348,early_high,50716.5,0.15470034900255114,0.9306098815484205,0.03123234028419646,257
Clostridium innocuum,0.02487124513618677,0.03908706310679612,advanced_high,49632.5,0.15896970008865108,0.9525858772754053,0.021095861483704743,258
Bacilli unclassified SGB6540,0.0017267315175097276,0.0065156310679611645,advanced_high,51847.0,0.16237438964939344,0.969230912733445,0.013572742888368886,259
GGB4588 SGB6347,0.00333136186770428,0.010712087378640777,advanced_high,51616.0,0.16327333372164266,0.9706482743582789,0.012938113220543647,260
Bacilli unclassified SGB6422,0.006431050583657587,0.00945254854368932,advanced_high,51919.0,0.16386752885349987,0.9706482743582789,0.012938113220543647,261
Limosilactobacillus reuteri,0.0010537354085603113,0.006186116504854369,advanced_high,51921.0,0.16469348596258226,0.9718172873975274,0.012415379656039003,262
Enterocloster aldensis,0.04103910505836576,0.043491043689320386,advanced_high,49641.5,0.16817477313096318,0.9885863089751676,0.004985408418747001,263
Eubacterium limosum,0.00028782101167315177,0.001371334951456311,advanced_high,51744.0,0.16961003412882336,0.9932466392543974,0.002942895747293283,264
Bilophila SGB15450,0.00018140077821011673,0.0008813592233009708,advanced_high,51869.0,0.17098449456313458,0.9939620245212455,0.0026302080130741,265
Candidatus Avimicrobium caecorum,0.04404712062256809,0.034503907766990284,early_high,56148.0,0.17101804561620393,0.9939620245212455,0.0026302080130741,266
Candidatus Neochristensenella gallicola,0.0019036575875486382,0.0019190533980582526,advanced_high,51417.5,0.1731217615966919,1.0,-0.0,267
GGB9590 SGB15012,0.005861206225680934,0.010128956310679612,advanced_high,50589.5,0.1736935198813332,1.0,-0.0,268
GGB3570 SGB4777,0.005869649805447471,0.007792742718446602,advanced_high,50329.5,0.17454166398105875,1.0,-0.0,269
Streptococcus lutetiensis,0.00814284046692607,0.007966286407766992,early_high,53936.0,0.17615265009732606,1.0,-0.0,270
GGB9634 SGB15097,0.00767,0.018353325242718446,advanced_high,51728.0,0.1834974257316352,1.0,-0.0,271
Bacteroides intestinalis,0.09952015564202335,0.1087397087378641,advanced_high,50142.0,0.18596290358978995,1.0,-0.0,272
Blautia massiliensis,0.2427060700389105,0.18015344660194174,early_high,56101.5,0.18871953399332808,1.0,-0.0,273
Clostridia unclassified SGB14196,0.000602023346303502,0.003261529126213592,advanced_high,52152.0,0.19033154669507757,1.0,-0.0,274
Haemophilus paraphrohaemolyticus,0.00034789883268482487,0.0013940776699029125,advanced_high,52152.0,0.19033154669507757,1.0,-0.0,275
Enterocloster clostridioformis,0.06475824902723737,0.09043160194174758,advanced_high,50152.0,0.19052656046171368,1.0,-0.0,276
GGB9603 SGB15035,0.001247898832684825,0.010714563106796115,advanced_high,51576.0,0.1911941978281042,1.0,-0.0,277
GGB9635 SGB15101,0.006309260700389105,0.017189514563106793,advanced_high,51643.5,0.1990884443832096,1.0,-0.0,278
Bacteroides faecis,0.08745688715953308,0.08312703883495146,early_high,50696.0,0.20006989372234552,1.0,-0.0,279
Butyricicoccus SGB14985,0.004827431906614786,0.015088932038834948,advanced_high,54173.5,0.20121125741432533,1.0,-0.0,280
GGB9615 SGB15051,0.005756770428015565,0.00651371359223301,advanced_high,51109.0,0.20379863601462078,1.0,-0.0,281
Clostridiales bacterium,0.08485797665369649,0.07485966019417477,early_high,55965.0,0.21011930448693394,1.0,-0.0,282
Streptococcus oralis,0.030186653696498054,0.03427315533980583,advanced_high,55859.0,0.21294063829722087,1.0,-0.0,283
Ruminococcus gnavus,1.3073268482490272,0.8594239077669903,early_high,55958.5,0.21355878834769404,1.0,-0.0,284
Lachnospiraceae bacterium WCA3 601 WT 6H,0.5245134241245137,0.49414029126213593,early_high,49964.0,0.2144067022577314,1.0,-0.0,285
Hydrogeniiclostidium mannosilyticum,0.003817354085603113,0.004605728155339806,advanced_high,50491.0,0.21471269971611207,1.0,-0.0,286
Lachnospira SGB5076,0.07521307392996109,0.03038626213592233,early_high,54564.0,0.21507296294583544,1.0,-0.0,287
Campylobacter hominis,7.151750972762647e-05,0.00010907766990291264,advanced_high,52055.0,0.21650143773034247,1.0,-0.0,288
Murimonas intestini,7.058365758754863e-05,0.0009474029126213591,advanced_high,52056.0,0.21702011347404815,1.0,-0.0,289
Gemmiger formicilis,0.5450820622568094,0.43762713592233016,early_high,55880.0,0.2182667406775426,1.0,-0.0,290
Ruminococcus callidus,0.05217984435797665,0.05438716019417476,advanced_high,50832.0,0.21850872735324967,1.0,-0.0,291
Lachnospira eligens,0.8607507003891051,0.6567805582524272,early_high,49985.0,0.21890320183684187,1.0,-0.0,292
Enterococcus faecalis,0.04710221789883269,0.011017936893203883,early_high,54886.0,0.22234747855796955,1.0,-0.0,293
GGB4687 SGB6484,8.1284046692607e-05,0.03967012135922329,advanced_high,52321.0,0.22467599930727156,1.0,-0.0,294
Clostridium fessum,0.35220824902723735,0.2593588349514563,early_high,55840.0,0.228719783108016,1.0,-0.0,295
Phocaeicola plebeius,3.2898245525291827,1.7530221359223301,early_high,55751.0,0.2291696477149192,1.0,-0.0,296
Flavobacteriales bacterium,0.0061738521400778205,0.0072758009708737865,advanced_high,51520.0,0.230955891061134,1.0,-0.0,297
Klebsiella oxytoca,0.009585214007782101,0.06537856796116505,advanced_high,54034.5,0.23134844400763765,1.0,-0.0,298
Actinomyces bouchesdurhonensis,0.011460894941634242,0.0038414563106796114,early_high,54839.0,0.23373258904633998,1.0,-0.0,299
Clostridium sp AM33 3,0.04182863813229572,0.042966432038834955,advanced_high,50249.5,0.23393759800846015,1.0,-0.0,300
GGB9642 SGB15119,0.0130684046692607,0.018067645631067962,advanced_high,51163.0,0.23630738458288247,1.0,-0.0,301
Parabacteroides goldsteinii,0.051758988326848256,0.057835,advanced_high,55539.0,0.2369321390763609,1.0,-0.0,302
Clostridium sp AF34 13,0.015096070038910506,0.01849235436893204,advanced_high,51105.0,0.23834507711953545,1.0,-0.0,303
Actinomyces graevenitzii,0.0029575486381322957,0.0016209466019417474,early_high,55166.0,0.2423687541143481,1.0,-0.0,304
Veillonella parvula,0.20343735408560312,0.339221213592233,advanced_high,55699.5,0.24916335611854679,1.0,-0.0,305
Coprococcus catus,0.07760120622568094,0.06966618932038836,early_high,50247.0,0.25120642869816723,1.0,-0.0,306
Bacteroides xylanisolvens,0.6635092607003892,0.6917053640776699,advanced_high,50157.5,0.25172038145434494,1.0,-0.0,307
Anaerotruncus colihominis,0.014055136186770428,0.018543009708737863,advanced_high,50311.5,0.258399927517318,1.0,-0.0,308
Clostridium sp NSJ 42,0.009914863813229572,0.01147638349514563,advanced_high,51061.0,0.2627946580338726,1.0,-0.0,309
Rothia dentocariosa,0.0013817120622568095,0.0007227669902912622,early_high,54729.5,0.26355072681696523,1.0,-0.0,310
Phascolarctobacterium faecium,0.5229812840466926,0.6047446844660194,advanced_high,50365.0,0.2636205073280836,1.0,-0.0,311
Dialister SGB5817,0.0005926070038910506,0.020813228155339807,advanced_high,52111.0,0.26889921768125835,1.0,-0.0,312
GGB3737 SGB5071,0.0004803501945525292,0.0007098058252427185,advanced_high,53530.5,0.27226076786521414,1.0,-0.0,313
GGB9778 SGB15398,0.0020779377431906615,0.0026006796116504857,advanced_high,51807.0,0.2723538836303687,1.0,-0.0,314
Senegalimassilia anaerobia,0.009535992217898831,0.012470606796116505,advanced_high,51005.5,0.274258117744834,1.0,-0.0,315
Clostridium leptum,0.13303614785992218,0.1251815048543689,early_high,50335.0,0.2754880055197435,1.0,-0.0,316
GGB9633 SGB15091,0.18894295719844356,0.39385919902912625,advanced_high,50642.5,0.27685556725386085,1.0,-0.0,317
Clostridium sp AF34 10BH,0.45286793774319073,0.5339678398058253,advanced_high,50311.0,0.27795247493827524,1.0,-0.0,318
Dialister succinatiphilus,0.051775719844357984,0.06658660194174758,advanced_high,52029.0,0.2793980896985895,1.0,-0.0,319
Alistipes inops,0.054418638132295714,0.07413798543689319,advanced_high,51014.5,0.2801287313758305,1.0,-0.0,320
Klebsiella grimontii,0.002165953307392996,0.0009932281553398058,early_high,53939.0,0.28154493451141316,1.0,-0.0,321
Acidaminococcus massiliensis,0.019691439688715957,0.020988325242718448,advanced_high,51692.5,0.2887304040339157,1.0,-0.0,322
Rikenellaceae bacterium,0.0593307392996109,0.05881182038834951,early_high,51430.0,0.28987886656268314,1.0,-0.0,323
GGB9628 SGB15082,0.0008729571984435798,0.0005619417475728155,early_high,53455.0,0.29082749847244815,1.0,-0.0,324
GGB3005 SGB3996,0.03425910505836576,0.03709662621359223,advanced_high,50725.0,0.29276508347080543,1.0,-0.0,325
Lactobacillus delbrueckii,0.0038134630350194552,0.004615898058252427,advanced_high,54343.5,0.2928221712753536,1.0,-0.0,326
Rikenellaceae unclassified SGB2230,0.2264643968871595,0.38114177184466025,advanced_high,51580.5,0.30103484683955084,1.0,-0.0,327
GGB9644 SGB15121,0.027859377431906623,0.030144417475728155,advanced_high,54893.5,0.303080428763285,1.0,-0.0,328
Blautia SGB4805,0.005513891050583657,0.0061932281553398055,advanced_high,50886.0,0.30571630393971616,1.0,-0.0,329
GGB12796 SGB19893,0.0006811284046692606,0.0002094660194174757,early_high,53953.5,0.30584549922472526,1.0,-0.0,330
Megamonas funiformis,1.1517268482490273,0.37647570388349516,early_high,54961.0,0.31148705556094636,1.0,-0.0,331
Blautia SGB4831,0.031006070038910507,0.02616429611650485,early_high,50725.0,0.31354319459412705,1.0,-0.0,332
GGB9614 SGB15049,0.03323303501945526,0.021848689320388352,early_high,55180.5,0.315690539775353,1.0,-0.0,333
Clostridiaceae bacterium OM08 6BH,0.03634529182879378,0.026147961165048545,early_high,55220.0,0.31832201635580337,1.0,-0.0,334
Blautia schinkii,0.024594319066147858,0.00934752427184466,early_high,51303.0,0.3247177487263333,1.0,-0.0,335
